Town,Latitude,Longitude,Distance
Patterson Springs,35.235407,-81.5145344,159.87040424071188
Bald Head Island,33.8598511,-77.9895326,160.74635277428885
Zionville,36.3348472,-81.7431667,161.6970563471674
Earl,35.1934623,-81.5331467,161.9482272538088
Kingstown,35.3512389,-81.612316,162.267280683615
Polkville,35.4176278,-81.6428725,162.5016164608037
Seven Devils,36.1559724,-81.7996604,164.1505555110361
Glen Alpine,35.7290168,-81.7792661,165.11214310521876
Lattimore,35.3181818,-81.6606513,165.59092410507253
Grandfather,36.0990163,-81.8476114,166.80968490338358
Boiling Springs,35.254292,-81.6670407,167.43143380560818
Mooresboro,35.2987362,-81.6989863,168.07890693675395
Banner Elk,36.1631818,-81.8715019,168.17605733227356
Sugar Mountain,36.124571,-81.8756682,168.37735141428763
Ellenboro,35.3287949,-81.7587106,170.5984708905023
Newland,36.0873484,-81.9273363,171.27803866742445
Crossnore,36.0217938,-81.9295579,171.51437150403083
Bostic,35.362623,-81.835657,174.019409481285
Duck,36.1700137,-75.7559261,174.13038373523912
Elk Park,36.1573464,-81.9781722,174.13205624681996
Southern Shores,36.1390533,-75.7315719,175.46108569681675
Forest City,35.3340108,-81.8651028,176.19970500315762
Kitty Hawk,36.0664318,-75.6935448,177.6195624603521
Marion,35.6841022,-82.0091028,178.36908479665502
Kill Devil Hills,36.0321186,-75.6776147,178.5752678797966
Spindale,35.3601212,-81.929271,179.1229854634559
Manteo,35.9082257,-75.6757303,179.1722403808664
Spruce Pine,35.9147787,-82.066411,179.60341731493776
Ruth,35.3820659,-81.9470489,179.65170357292246
Rutherfordton,35.3692877,-81.9567716,180.42798947616765
Wanchese,35.8426729,-75.6385055,181.6739865888796
Nags Head,35.9573923,-75.624062,181.8192540571633
Bakersville,36.0156735,-82.1587351,184.3577100900153
Old Fort,35.6290093,-82.1806697,188.53666811301488
Burnsville,35.9172243,-82.2996695,192.63417334269127
Lake Lure,35.4278969,-82.2048343,192.8453715403517
Montreat,35.6442841,-82.3028972,195.1246223264069
Chimney Rock,35.4327295,-82.2503096,195.25015452878816
Walkertown,35.6534497,-82.3390098,197.0217604065726
